@RELATION comment
@ATTRIBUTE COUNT(black) REAL
@ATTRIBUTE COUNT(white) REAL
@ATTRIBUTE COUNT(move) REAL
@ATTRIBUTE COUNT(pawn) REAL
@ATTRIBUTE COUNT(better) REAL
@ATTRIBUTE COUNT(play) REAL
@ATTRIBUTE COUNT(would) REAL
@ATTRIBUTE COUNT(blacks) REAL
@ATTRIBUTE COUNT(game) REAL
@ATTRIBUTE COUNT(much) REAL
@ATTRIBUTE COUNT(whites) REAL
@ATTRIBUTE COUNT(bishop) REAL
@ATTRIBUTE COUNT(knight) REAL
@ATTRIBUTE COUNT(queen) REAL
@ATTRIBUTE COUNT(played) REAL
@ATTRIBUTE COUNT(position) REAL
@ATTRIBUTE COUNT(time) REAL
@ATTRIBUTE COUNT(king) REAL
@ATTRIBUTE COUNT(might) REAL
@ATTRIBUTE COUNT(even) REAL
@ATTRIBUTE COUNT(attack) REAL
@ATTRIBUTE COUNT(gives) REAL
@ATTRIBUTE COUNT(good) REAL
@ATTRIBUTE COUNT(pawns) REAL
@ATTRIBUTE COUNT(could) REAL
@ATTRIBUTE COUNT(way) REAL
@ATTRIBUTE COUNT(strong) REAL
@ATTRIBUTE COUNT(rook) REAL
@ATTRIBUTE COUNT(one) REAL
@ATTRIBUTE COUNT(back) REAL
@ATTRIBUTE COUNT(idea) REAL
@ATTRIBUTE COUNT(still) REAL
@ATTRIBUTE COUNT(piece) REAL
@ATTRIBUTE COUNT(opening) REAL
@ATTRIBUTE COUNT(get) REAL
@ATTRIBUTE COUNT(away) REAL
@ATTRIBUTE COUNT(pieces) REAL
@ATTRIBUTE COUNT(square) REAL
@ATTRIBUTE COUNT(move.) REAL
@ATTRIBUTE COUNT(pressure) REAL
@ATTRIBUTE COUNT(advantage) REAL
@ATTRIBUTE COUNT(makes) REAL
@ATTRIBUTE COUNT(also) REAL
@ATTRIBUTE COUNT(moves) REAL
@ATTRIBUTE COUNT(two) REAL
@ATTRIBUTE COUNT(must) REAL
@ATTRIBUTE COUNT(first) REAL
@ATTRIBUTE COUNT(like) REAL
@ATTRIBUTE COUNT(allows) REAL
@ATTRIBUTE COUNT(open) REAL
@ATTRIBUTE COUNT(opponent) REAL
@ATTRIBUTE COUNT(cant) REAL
@ATTRIBUTE COUNT(playing) REAL
@ATTRIBUTE COUNT(win) REAL
@ATTRIBUTE COUNT(however) REAL
@ATTRIBUTE COUNT(think) REAL
@ATTRIBUTE COUNT(game.) REAL
@ATTRIBUTE COUNT(best) REAL
@ATTRIBUTE COUNT(advantage.) REAL
@ATTRIBUTE COUNT(bad) REAL
@ATTRIBUTE COUNT(take) REAL
@ATTRIBUTE COUNT(diagonal) REAL
@ATTRIBUTE COUNT(nothing) REAL
@ATTRIBUTE COUNT(intending) REAL
@ATTRIBUTE COUNT(bishop.) REAL
@ATTRIBUTE COUNT(line) REAL
@ATTRIBUTE COUNT(trade) REAL
@ATTRIBUTE COUNT(position.) REAL
@ATTRIBUTE COUNT(text) REAL
@ATTRIBUTE COUNT(winning) REAL
@ATTRIBUTE COUNT(important) REAL
@ATTRIBUTE COUNT(e5) REAL
@ATTRIBUTE COUNT(center) REAL
@ATTRIBUTE COUNT(sacrifice) REAL
@ATTRIBUTE COUNT(taking) REAL
@ATTRIBUTE COUNT(cannot) REAL
@ATTRIBUTE COUNT(threatening) REAL
@ATTRIBUTE COUNT(clear) REAL
@ATTRIBUTE COUNT(-) REAL
@ATTRIBUTE COUNT(development) REAL
@ATTRIBUTE COUNT(work) REAL
@ATTRIBUTE COUNT(d5) REAL
@ATTRIBUTE COUNT(0-0) REAL
@ATTRIBUTE COUNT(plan) REAL
@ATTRIBUTE COUNT(leaves) REAL
@ATTRIBUTE COUNT(another) REAL
@ATTRIBUTE COUNT(giving) REAL
@ATTRIBUTE COUNT(probably) REAL
@ATTRIBUTE COUNT(forced) REAL
@ATTRIBUTE COUNT(seems) REAL
@ATTRIBUTE COUNT(loses) REAL
@ATTRIBUTE COUNT(theres) REAL
@ATTRIBUTE COUNT(it.) REAL
@ATTRIBUTE COUNT(help) REAL
@ATTRIBUTE COUNT(blunder.) REAL
@ATTRIBUTE COUNT(tim) REAL
@ATTRIBUTE COUNT(exchange) REAL
@ATTRIBUTE COUNT(f4) REAL
@ATTRIBUTE COUNT(structure) REAL
@ATTRIBUTE COUNT(well) REAL
@ATTRIBUTE POSITIVE {True, False}
@DATA
1,2,0,2,0,0,1,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False
1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, True
0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, True
