=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-move-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.19528     1493 count(view)
 0.19414     1494 count(view_of)
 0.19299      784 count(in_view_of)
 0.19299      783 count(in_view)
 0.18695      413 count(blunder)
 0.16635      348 count(because_of)
 0.16454      340 count(be_too)
 0.15842      904 count(mistake)
 0.15651      542 count(decisive_mistake)
 0.15651     1157 count(refute_by)
 0.15651     1495 count(view_of_:)
 0.15651      991 count(of_:)
 0.15424      325 count(be_refute)
 0.15424     1282 count(terrible)
 0.15183      326 count(be_refute_by)
 0.14927      415 count(blunder_in)
 0.14927       99 count(a_blunder)
 0.14927      170 count(allow_white)
 0.14927      902 count(miss_the)
 0.14927      786 count(inaccuracy)
 0.1465       847 count(let)
 0.1465      1421 count(time_.)
 0.1465       862 count(lose_a)
 0.1465       414 count(blunder_.)
 0.1465       543 count(decisive_mistake_.)
 0.1465      1110 count(premature)
 0.1435       568 count(doesn_apostrophe_t_work)
 0.1435       116 count(a_mistake)
 0.1435       100 count(a_blunder_in)
 0.1435       367 count(better_wa)
 0.1435       640 count(fall)
 0.1435       566 count(doe_not_work)
 0.1435       687 count(founder)
 0.1435       128 count(a_terrible)
 0.1435       967 count(not_work)
 0.1435       901 count(miss_a)
 0.1435       688 count(founder_on)
 0.14018      416 count(blunder_in_a)
 0.14018     1402 count(this_lose)
 0.14018      616 count(error)
 0.14018      689 count(founder_on_the)
 0.14018     1223 count(slow)
 0.14018     1379 count(the_spot)
 0.14018      169 count(allow_the)
 0.14018     1619 count(work_in)
 0.14018      638 count(fail)
 0.14018     1056 count(passive_.)
 0.14018      747 count(his_chance)
 0.14018     1239 count(spot)
 0.14018     1010 count(on_the_spot)
 0.14018     1476 count(unnecessary)
 0.14018     1317 count(the_decisive_mistake)
 0.13646      867 count(lose_on)
 0.13646     1158 count(refute_by_:)
 0.13646      643 count(fall_into_the)
 0.13646      639 count(fail_to)
 0.13646      642 count(fall_into)
 0.13646      869 count(lose_the)
 0.13646      868 count(lose_on_the)
 0.13646      394 count(black_miss)
 0.13646     1284 count(terrible_blunder_.)
 0.13646     1283 count(terrible_blunder)
 0.13646      129 count(a_terrible_blunder)
 0.13646     1483 count(useless)
 0.13646      906 count(mistake__comma_)
 0.13646      961 count(not_correct)
 0.13646     1423 count(time_trouble)
 0.13646      277 count(be_bad)
 0.13646      430 count(by_:)
 0.13646      306 count(be_not_correct)
 0.13646       40 count(._better)
 0.13646      171 count(allow_white_to)
 0.13646     1197 count(serious_mistake)
 0.1342       860 count(lose)
 0.13218      864 count(lose_by)
 0.13218     1453 count(too_much)
 0.13218     1434 count(to_equalize_.)
 0.13218      905 count(mistake_!)
 0.13218      960 count(not_a)
 0.13218      866 count(lose_immediately)
 0.13218     1397 count(this_.)
 0.13218     1107 count(precious)
 0.13218      120 count(a_pawn_.)
 0.13218      174 count(already_a)
 0.13218     1455 count(too_slow)
 0.13218     1380 count(the_spot_.)
 0.13218      764 count(immediate)
 0.13218     1285 count(terrible_mistake)
 0.13218      319 count(be_premature)
 0.13218      835 count(last_mistake)
 0.13218      711 count(give_up)
 0.13218      243 count(attractive)
 0.13218     1240 count(spot_.)
 0.13218      618 count(escape_.)
 0.13218      754 count(hopeless)
 0.1316       907 count(mistake_.)
 0.12875      347 count(because)
 0.12706      963 count(not_necessary)
 0.12706     1218 count(since)
 0.12706      307 count(be_not_so)
 0.12706     1019 count(only_help)
 0.12706     1454 count(too_passive)
 0.12706      863 count(lose_a_piece)
 0.12706      305 count(be_not_a)
 0.12706     1552 count(white_lose)
 0.12258     1618 count(work)
 0.10758      897 count(meet_by)
 0.10758      770 count(in_a)
 0.09362     1626 count(wrong)
 0.09355      550 count(deserve)
 0.09147      218 count(and_white)
 0.08949     1156 count(refute)
 0.08653      298 count(be_meet)
 0.08653      579 count(dubious)
 0.08653      125 count(a_serious)
 0.08653      299 count(be_meet_by)
 0.08653     1065 count(permit)
 0.0851      1117 count(prevent)
 0.0851       729 count(ha_to)
 0.08418      624 count(example_:)
 0.08418      672 count(for_example_:)
 0.0829       167 count(allow)
 0.08223     1331 count(the_idea)
 0.08223     1195 count(serious_attention)
 0.08223     1288 count(than)
 0.08223      475 count(come)
 0.08223     1511 count(wa_the)
 0.08119      337 count(be_the_point)
 0.08119       44 count(/)
 0.08036     1055 count(passive)
 0.0801       551 count(deserve_attention)
 0.0801       553 count(deserve_serious_attention)
 0.0801       552 count(deserve_serious)
 0.0801       504 count(control)
 0.0801      1613 count(with_the_idea)
 0.07963     1316 count(the_decisive)
 0.07963     1390 count(the_wrong)
 0.07963      227 count(answer_by)
 0.07963      303 count(be_no)
 0.07895     1111 count(prepare)
 0.07895     1039 count(otherwise)
 0.07772      194 count(an_interest)
 0.07772     1343 count(the_main)
 0.07772      360 count(better_.)
 0.07772      198 count(and_black_be)
 0.07642      242 count(attention_.)
 0.07642      212 count(and_the)
 0.07501     1358 count(the_point_of)
 0.07501      160 count(against)
 0.07501      714 count(go_for)
 0.07348     1531 count(when)
 0.07348       83 count(\)
 0.07348      648 count(fight_for)
 0.07348      725 count(ha_a)
 0.07348      653 count(fine)
 0.07348      859 count(look_more)
 0.07348     1550 count(white_ha_to)
 0.07348     1036 count(order)
 0.07348      419 count(both)
 0.07348     1308 count(the_board)
 0.07348     1356 count(the_point_!)
 0.07348       45 count(/_\)
 0.07348      417 count(board)
 0.07348      320 count(be_probably)
 0.07348      345 count(be_win_.)
 0.07348     1089 count(point_!)
 0.07348     1621 count(worth)
 0.07179      201 count(and_black_ha)
 0.07179     1105 count(practical)
 0.07179     1445 count(to_take)
 0.07179      272 count(be_an_interest)
 0.07179      392 count(black_keep)
 0.07179      221 count(and_white_win)
 0.07179     1140 count(queenside_.)
 0.07179     1176 count(rook_.)
 0.07179      826 count(kingside)
 0.07179      666 count(for_a_win)
 0.07179     1492 count(very_strong)
 0.07179     1504 count(wa_more)
 0.07179      611 count(equality)
 0.07179     1543 count(white_can_apostrophe_t)
 0.07179     1026 count(open_up)
 0.07179      604 count(endgame)
 0.07172     1249 count(strange)
 0.07172      870 count(loss)
 0.07063      240 count(attention)
 0.07009      900 count(miss)
 0.06989      366 count(better_than)
 0.06989     1172 count(rid_of)
 0.06989     1367 count(the_queenside)
 0.06989     1171 count(rid)
 0.06989     1457 count(transpose)
 0.06989     1378 count(the_simplest)
 0.06989     1368 count(the_queenside_.)
 0.06989      390 count(black_ha_to)
 0.06989      588 count(e6)
 0.06989     1548 count(white_ha_a)
 0.06989      386 count(black_get)
 0.06989      355 count(best_.)
 0.06989     1183 count(safe)
 0.06989     1345 count(the_n)
 0.06989      649 count(fight_for_the)
 0.06989     1309 count(the_board_.)
