=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-position-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.23127     1160 count(repetition)
 0.23046     1066 count(perpetual)
 0.22789      284 count(be_equal)
 0.22431      609 count(equal_chance)
 0.22431      995 count(of_move)
 0.22431     1161 count(repetition_of)
 0.22431      204 count(and_draw)
 0.22431     1162 count(repetition_of_move)
 0.22421      401 count(black_win)
 0.22049     1067 count(perpetual_.)
 0.22049      285 count(be_equal_.)
 0.22049      576 count(draw_by)
 0.21823     1552 count(white_lose)
 0.21823      202 count(and_black_win)
 0.21637      996 count(of_move_.)
 0.21637     1604 count(with_equal)
 0.21637      577 count(draw_by_perpetual)
 0.21637      432 count(by_perpetual)
 0.21637      610 count(equal_chance_.)
 0.21597      607 count(equal)
 0.21191      259 count(balance)
 0.21191      205 count(and_draw_by)
 0.21191     1002 count(ok)
 0.21191      614 count(equalize)
 0.21191     1605 count(with_equal_chance)
 0.21191      489 count(complicate_position)
 0.20699      490 count(complicate_position_.)
 0.20699      121 count(a_perpetual)
 0.20311      379 count(black_be_win)
 0.20311     1540 count(white_be_lose)
 0.20311     1336 count(the_king)
 0.20311     1335 count(the_initiative_.)
 0.20311     1334 count(the_initiative)
 0.20147     1426 count(to_an)
 0.20147     1017 count(only_a)
 0.20147     1608 count(with_repetition)
 0.20147      530 count(dead_draw)
 0.20147      312 count(be_only_a)
 0.20147      615 count(equalize_.)
 0.20147     1609 count(with_repetition_of)
 0.20147     1614 count(with_unclear)
 0.19512     1127 count(progress_.)
 0.19512      941 count(mutual)
 0.19512      266 count(be_about_equal)
 0.19512      138 count(about_equal)
 0.19512      385 count(black_equalize)
 0.19512      103 count(a_dead_draw)
 0.19512      102 count(a_dead)
 0.19512      728 count(ha_nothing)
 0.19512      310 count(be_ok)
 0.18753      842 count(lead_to_an)
 0.18753     1393 count(there_be_no)
 0.18753     1201 count(sharp)
 0.18753     1615 count(with_unclear_position)
 0.18753     1472 count(unclear_position)
 0.18753      661 count(flexible)
 0.18753      972 count(nothing_to)
 0.18563      487 count(complicate)
 0.18466     1068 count(perpetual_check)
 0.17925     1360 count(the_position_be)
 0.17816      608 count(equal_.)
 0.17339     1069 count(perpetual_check_.)
 0.17159      108 count(a_draw_.)
 0.15548      465 count(check_.)
 0.14359      573 count(draw)
 0.14341      654 count(fine_.)
 0.14341      199 count(and_black_can)
 0.14333     1319 count(the_draw)
 0.13413      653 count(fine)
 0.13299     1082 count(play_for)
 0.13299      265 count(be_about)
 0.13299      264 count(be_a_draw)
 0.13299      703 count(game_with)
 0.13299     1544 count(white_cannot)
 0.12664      574 count(draw_.)
 0.12656     1543 count(white_can_apostrophe_t)
 0.12142      578 count(drawish)
 0.12142      613 count(equalization)
 0.12068      621 count(everything)
 0.12068      223 count(and_white_apostrophe_s_-)
 0.12068     1563 count(white_apostrophe_s_-)
 0.12068     1564 count(white_apostrophe_s_-_>)
 0.12068      745 count(him)
 0.11713      464 count(check)
 0.11314      107 count(a_draw)
 0.11276     1470 count(unclear)
 0.11009      611 count(equality)
 0.10645     1558 count(white_win)
