=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-position-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.2313     1160 tfidf(repetition)
 0.2305     1066 tfidf(perpetual)
 0.2279      284 tfidf(be_equal)
 0.2243      609 tfidf(equal_chance)
 0.2243      204 tfidf(and_draw)
 0.2243      995 tfidf(of_move)
 0.2243     1161 tfidf(repetition_of)
 0.2243     1162 tfidf(repetition_of_move)
 0.2242      401 tfidf(black_win)
 0.2205      576 tfidf(draw_by)
 0.2205     1067 tfidf(perpetual_.)
 0.2205      285 tfidf(be_equal_.)
 0.2182      202 tfidf(and_black_win)
 0.2182     1552 tfidf(white_lose)
 0.2164      996 tfidf(of_move_.)
 0.2164      432 tfidf(by_perpetual)
 0.2164     1604 tfidf(with_equal)
 0.2164      577 tfidf(draw_by_perpetual)
 0.2164      610 tfidf(equal_chance_.)
 0.216       607 tfidf(equal)
 0.2146     1360 tfidf(the_position_be)
 0.2119      489 tfidf(complicate_position)
 0.2119      205 tfidf(and_draw_by)
 0.2119     1002 tfidf(ok)
 0.2119     1605 tfidf(with_equal_chance)
 0.2119      611 tfidf(equality)
 0.2119      259 tfidf(balance)
 0.2119      614 tfidf(equalize)
 0.2113      223 tfidf(and_white_apostrophe_s_-)
 0.2113     1564 tfidf(white_apostrophe_s_-_>)
 0.2113     1563 tfidf(white_apostrophe_s_-)
 0.207       490 tfidf(complicate_position_.)
 0.207       612 tfidf(equality_.)
 0.207       121 tfidf(a_perpetual)
 0.2031     1336 tfidf(the_king)
 0.2031      379 tfidf(black_be_win)
 0.2031     1334 tfidf(the_initiative)
 0.2031     1335 tfidf(the_initiative_.)
 0.2031     1540 tfidf(white_be_lose)
 0.2015     1609 tfidf(with_repetition_of)
 0.2015     1426 tfidf(to_an)
 0.2015      615 tfidf(equalize_.)
 0.2015      530 tfidf(dead_draw)
 0.2015     1017 tfidf(only_a)
 0.2015     1608 tfidf(with_repetition)
 0.2015      312 tfidf(be_only_a)
 0.2015     1614 tfidf(with_unclear)
 0.1951      266 tfidf(be_about_equal)
 0.1951      310 tfidf(be_ok)
 0.1951      103 tfidf(a_dead_draw)
 0.1951      728 tfidf(ha_nothing)
 0.1951     1480 tfidf(up_in)
 0.1951     1127 tfidf(progress_.)
 0.1951      575 tfidf(draw_be)
 0.1951      603 tfidf(end_up)
 0.1951      102 tfidf(a_dead)
 0.1951      138 tfidf(about_equal)
 0.1951      385 tfidf(black_equalize)
 0.1951      941 tfidf(mutual)
 0.1944      108 tfidf(a_draw_.)
 0.1875      972 tfidf(nothing_to)
 0.1875     1615 tfidf(with_unclear_position)
 0.1875     1472 tfidf(unclear_position)
 0.1856      487 tfidf(complicate)
 0.1847     1068 tfidf(perpetual_check)
 0.1782      608 tfidf(equal_.)
 0.1734     1069 tfidf(perpetual_check_.)
 0.1555      465 tfidf(check_.)
 0.1436      573 tfidf(draw)
 0.1433     1319 tfidf(the_draw)
 0.1341     1041 tfidf(out)
 0.1341      653 tfidf(fine)
 0.1266      574 tfidf(draw_.)
 0.1265      970 tfidf(nothing)
 0.1171      464 tfidf(check)
