=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.12349     1493 count(view)
 0.12289     1494 count(view_of)
 0.12227      783 count(in_view)
 0.12227      784 count(in_view_of)
 0.10958      203 count(and_black_apostrophe_s)
 0.10663     1156 count(refute)
 0.10556      226 count(answer)
 0.10445      535 count(decision)
 0.10445     1399 count(this_be_a)
 0.10445     1068 count(perpetual_check)
 0.10445     1048 count(p_structure)
 0.10327      897 count(meet_by)
 0.10327      382 count(black_cannot)
 0.10327     1601 count(with_an)
 0.10204      991 count(of_:)
 0.10204     1069 count(perpetual_check_.)
 0.10204       55 count(1992)
 0.10204     1114 count(pressure_on)
 0.10204     1157 count(refute_by)
 0.10204     1495 count(view_of_:)
 0.10204      551 count(deserve_attention)
 0.10204     1160 count(repetition)
 0.10073       23 count(_comma__j)
 0.10073      284 count(be_equal)
 0.10073     1039 count(otherwise)
 0.10073      809 count(j)
 0.10073      325 count(be_refute)
 0.10073       54 count(1991)
 0.09934      631 count(extra_pawn)
 0.09934       51 count(/_new)
 0.09934      204 count(and_draw)
 0.09934      954 count(new_york)
 0.09934     1162 count(repetition_of_move)
 0.09934      311 count(be_only)
 0.09934      872 count(m)
 0.09934       13 count(_comma__a_/)
 0.09934     1628 count(york)
 0.09934     1161 count(repetition_of)
 0.09934      326 count(be_refute_by)
 0.09934       96 count(a_/)
 0.09934     1115 count(pressure_on_the)
 0.09934     1091 count(point_of)
 0.09784      879 count(manila)
 0.09784      298 count(be_meet)
 0.09784     1003 count(olm)
 0.09784       99 count(a_blunder)
 0.09784      415 count(blunder_in)
 0.09784     1130 count(prospect)
 0.09784      299 count(be_meet_by)
 0.09784      786 count(inaccuracy)
 0.09784     1606 count(with_good)
 0.09784     1076 count(place_for)
 0.09784       25 count(_comma__m)
 0.09784      902 count(miss_the)
 0.09784      285 count(be_equal_.)
 0.09623     1436 count(to_get)
 0.09623       52 count(/_new_york)
 0.09623      213 count(and_the_b)
 0.09623      112 count(a_healthy)
 0.09623       57 count(1998)
 0.09623     1390 count(the_wrong)
 0.09623     1358 count(the_point_of)
 0.09623      577 count(draw_by_perpetual)
 0.09623      873 count(m_/)
 0.09623      517 count(cup)
 0.09623      180 count(also_win)
 0.09623      916 count(more_or)
 0.09623      917 count(more_or_le)
 0.09623      536 count(decision_.)
 0.09623      227 count(answer_by)
 0.09623     1319 count(the_draw)
 0.09623     1599 count(with_a_win)
 0.09623     1296 count(the__)
 0.09623       26 count(_comma__m_/)
 0.09623     1178 count(s)
 0.09623     1034 count(or_le)
 0.09623      353 count(besides)
 0.09623     1150 count(reaction)
 0.09623     1297 count(the___|)
 0.09623     1077 count(place_for_the)
 0.09623      432 count(by_perpetual)
 0.09446      130 count(a_typical)
 0.09446     1249 count(strange)
