=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   2002
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2002 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.17719      203 tfidf(/)
 0.14348     1900 tfidf(week_in)
 0.14348     1103 tfidf(in_chess)
 0.14348     1754 tfidf(the_week_in)
 0.14348      245 tfidf(/_the_week)
 0.14348     1901 tfidf(week_in_chess)
 0.14348     1753 tfidf(the_week)
 0.14348     1899 tfidf(week)
 0.13853      930 tfidf(ext)
 0.13752      256 tfidf(1/2)
 0.13617      257 tfidf(1/2_-)
 0.13447      173 tfidf(-_1/2)
 0.13447      258 tfidf(1/2_-_1/2)
 0.13207       69 tfidf()_-)
 0.13088       15 tfidf(()
 0.13017       71 tfidf()_/)
 0.13017      244 tfidf(/_the)
 0.13012      309 tfidf(2002)
 0.13012     1259 tfidf(move__comma_)
 0.1298        66 tfidf())
 0.12349      226 tfidf(/_ext)
 0.12273      128 tfidf(_comma__j)
 0.12273     1144 tfidf(j)
 0.12165      146 tfidf(_comma__r)
 0.12036      311 tfidf(2002_/)
 0.12036     1630 tfidf(td)
 0.11692      242 tfidf(/_td)
 0.11619      287 tfidf(1995)
 0.11544      931 tfidf(ext_()
 0.11544      135 tfidf(_comma__l_/)
 0.11544     1306 tfidf(novelty)
 0.11544     1173 tfidf(l_/)
 0.11417     1207 tfidf(m)
 0.11388     1530 tfidf(s_()
 0.11388      150 tfidf(_comma__s_()
 0.11381      253 tfidf(1-0)
 0.11323     1209 tfidf(m_/)
 0.11224       73 tfidf()_/_moscow)
 0.11224      312 tfidf(2002_/_the)
 0.11138      293 tfidf(1997_/)
 0.11138      139 tfidf(_comma__n)
 0.11138     1527 tfidf(ru)
 0.1105       243 tfidf(/_td_()
 0.1105       751 tfidf(carlo)
 0.1105       297 tfidf(1999)
 0.1105       321 tfidf(2007)
 0.1105      1247 tfidf(monte)
 0.1105       280 tfidf(1992_/)
 0.1105      1248 tfidf(monte_carlo)
 0.1105       231 tfidf(/_monte_carlo)
 0.1105       230 tfidf(/_monte)
 0.1105      1631 tfidf(td_()
 0.1103      1146 tfidf(j_/)
 0.1103       130 tfidf(_comma__j_/)
 0.10958     1208 tfidf(m_()
 0.10958     1455 tfidf(prepare)
 0.10958     1492 tfidf(r_/)
 0.10958      137 tfidf(_comma__m_()
 0.10958      148 tfidf(_comma__r_/)
 0.10958     1281 tfidf(natural)
 0.10958       84 tfidf(_comma__after)
 0.10795      138 tfidf(_comma__m_/)
 0.10765     1874 tfidf(view)
 0.10765      823 tfidf(d_/)
 0.10765      288 tfidf(1995_/)
 0.10765     1216 tfidf(manila)
 0.10684      286 tfidf(1994_/)
 0.10673       78 tfidf(_comma_)
 0.10663     1145 tfidf(j_()
 0.10663      708 tfidf(blow)
 0.10663      129 tfidf(_comma__j_()
 0.10663      365 tfidf(42_))
