=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   2002
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2002 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.18374      231 count(/)
 0.13952       15 count(()
 0.13902       85 count())
 0.13404      284 count(/_the)
 0.13273     1771 count(the_week)
 0.13273     1911 count(week_in_chess)
 0.13273     1910 count(week_in)
 0.13273     1772 count(the_week_in)
 0.13273      285 count(/_the_week)
 0.13273     1909 count(week)
 0.13073      975 count(ext)
 0.12289     1660 count(td)
 0.12157     1152 count(in_chess)
 0.12098      260 count(/_ext)
 0.1197       169 count(_comma__r_/)
 0.1197      1535 count(r_/)
 0.11903      282 count(/_td)
 0.11597      167 count(_comma__r)
 0.11467      364 count(2001_/_the)
 0.11467      298 count(1-0_()
 0.11467      283 count(/_td_()
 0.11467     1661 count(td_()
 0.11463     1311 count(move)
 0.11388       58 count((_44_))
 0.11388      432 count(44_))
 0.11388       57 count((_44)
 0.11307      239 count(/_1-0_()
 0.10958      899 count(del)
 0.10958      892 count(decision_.)
 0.10958      664 count(b_()
 0.10958      927 count(dubious)
 0.10958      111 count(_comma__b_()
 0.10863      126 count(_comma__c_/)
 0.10863      388 count(2009_/)
 0.10863      168 count(_comma__r_()
 0.10863      410 count(33_))
 0.10863      793 count(c_/)
 0.10863     1035 count(fra)
 0.10863     1534 count(r_()
 0.10863       35 count((_33)
 0.10863       36 count((_33_))
 0.10863      436 count(47)
 0.10765      384 count(2007_/)
 0.10765     1305 count(monte_carlo)
 0.10765      806 count(carlo)
 0.10765     1304 count(monte)
 0.10663       63 count((_47)
 0.10663      726 count(better_wa)
 0.10663      368 count(2002_/_the)
 0.10663      262 count(/_ext_97)
 0.10663       64 count((_47_))
 0.10663     1301 count(mistake_.)
 0.10663      437 count(47_))
 0.10663      306 count(1/2__comma_)
 0.10663     1280 count(mar)
 0.10663      979 count(ext_97)
 0.10556      357 count(2000_()
 0.10556      597 count(aire)
 0.10556      327 count(1991_/)
 0.10556      980 count(ext_97_()
 0.10556      779 count(buenos_aire)
 0.10556      778 count(buenos)
 0.1046       891 count(decision)
 0.10445      269 count(/_monte)
 0.10445      196 count(_comma__y_/)
 0.10445      270 count(/_monte_carlo)
 0.10445      325 count(1990_/)
 0.10445      319 count(1987)
 0.10445     1990 count(y_/)
 0.10445      847 count(consider)
 0.10332      297 count(1-0)
 0.10327      450 count(53_))
 0.10327     1486 count(play_this)
 0.10327      318 count(1986)
 0.10204      400 count(28_))
 0.10204       26 count((_28_))
 0.10204      725 count(better_to)
 0.10204     1430 count(opponent_apostrophe_s)
 0.10204      435 count(46_))
 0.10204       25 count((_28)
 0.10204      769 count(bleed)
 0.10204     1896 count(way_.)
 0.10204     1323 count(move_wa)
 0.10204      138 count(_comma__h_/)
 0.10204      386 count(2008_/)
 0.10204       62 count((_46_))
 0.10204       61 count((_46)
