=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-total
Instances:    4000
Attributes:   2002
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2002 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0.14943      231 tfidf(/)
 0.14265       15 tfidf(()
 0.14213       85 tfidf())
 0.13404      284 tfidf(/_the)
 0.13273     1771 tfidf(the_week)
 0.13273     1772 tfidf(the_week_in)
 0.13273     1911 tfidf(week_in_chess)
 0.13273     1910 tfidf(week_in)
 0.13273     1909 tfidf(week)
 0.13273      285 tfidf(/_the_week)
 0.13212      167 tfidf(_comma__r)
 0.13073      975 tfidf(ext)
 0.12908     1269 tfidf(m_/)
 0.12638      156 tfidf(_comma__m_/)
 0.12467      891 tfidf(decision)
 0.12336      297 tfidf(1-0)
 0.12289     1660 tfidf(td)
 0.12157     1152 tfidf(in_chess)
 0.12098      260 tfidf(/_ext)
 0.1197       169 tfidf(_comma__r_/)
 0.1197      1535 tfidf(r_/)
 0.11903     1419 tfidf(op)
 0.11903      282 tfidf(/_td)
 0.11903      331 tfidf(1993_/)
 0.11764      431 tfidf(44)
 0.11692      426 tfidf(41_))
 0.11646      524 tfidf(a_/)
 0.11646      105 tfidf(_comma__a_/)
 0.11544       51 tfidf((_41)
 0.11544       52 tfidf((_41_))
 0.11467      848 tfidf(continuation)
 0.11467     1661 tfidf(td_()
 0.11467      283 tfidf(/_td_()
 0.11467      364 tfidf(2001_/_the)
 0.11467      298 tfidf(1-0_()
 0.11463     1311 tfidf(move)
 0.11388       57 tfidf((_44)
 0.11388       58 tfidf((_44_))
 0.11388      432 tfidf(44_))
 0.11307      239 tfidf(/_1-0_()
 0.11189      307 tfidf(1/2_-)
 0.11156      101 tfidf(_comma_)
 0.11105      330 tfidf(1993)
 0.1105        94 tfidf()_/_moscow)
 0.1105      1046 tfidf(g_/)
 0.11015      332 tfidf(1994)
 0.11007      200 tfidf(-_1/2)
 0.11007      308 tfidf(1/2_-_1/2)
 0.10958      111 tfidf(_comma__b_()
 0.10958      927 tfidf(dubious)
 0.10958      664 tfidf(b_()
 0.10958      323 tfidf(1989_/)
 0.10958      658 tfidf(attempt)
 0.10958     1066 tfidf(give_up)
 0.10958      899 tfidf(del)
 0.10958      892 tfidf(decision_.)
 0.10877      934 tfidf(e_()
 0.10877      131 tfidf(_comma__e_()
 0.10863      436 tfidf(47)
 0.10863      136 tfidf(_comma__g_/)
 0.10863     1534 tfidf(r_()
 0.10863      410 tfidf(33_))
 0.10863     1997 tfidf(z)
 0.10863      197 tfidf(_comma__z)
 0.10863     1035 tfidf(fra)
 0.10863      286 tfidf(0)
 0.10863      388 tfidf(2009_/)
 0.10863       36 tfidf((_33_))
 0.10863      126 tfidf(_comma__c_/)
 0.10863     1717 tfidf(the_idea)
 0.10863       35 tfidf((_33)
 0.10863      793 tfidf(c_/)
 0.10863      772 tfidf(blunder)
